iid,titulo,autor,criado_em,mergeado_em,dias_ate_merge,commits,arquivos_alterados,linhas_adicionadas,linhas_removidas,mudancas_totais
29,27 Testes Web Praga,Developer_01,2025-10-01T13:45:43.289Z,2025-10-01T18:21:34.368Z,0,5,6,152,0,152
28,29 Testes Web Tela Cultura,Developer_01,2025-09-30T14:27:54.917Z,2025-10-01T14:39:07.896Z,1,5,6,244,2,246
27,28 Testes API cultura,Developer_01,2025-09-26T18:03:47.679Z,2025-09-29T13:25:49.253Z,2,5,4,210,0,210
26,26 Testes API Praga,Developer_01,2025-09-25T19:42:06.102Z,2025-09-26T18:52:29.904Z,0,3,4,115,0,115
25,25 Manutenção nos Testes,Developer_01,2025-09-25T19:39:50.321Z,2025-09-29T13:13:23.736Z,3,20,20,113,84,197
24,24- Testes Web Solicitacoes de Servico,Developer_01,2025-09-25T17:15:24.985Z,2025-09-26T18:28:45.599Z,1,10,8,330,22,352
23,23 Testes API Solicitações de Serviço,Developer_01,2025-09-23T13:39:38.912Z,2025-09-26T18:05:38.761Z,3,11,7,304,5,309
22,22 testes web tela aprovacao exploracao pecuaria,Developer_01,2025-09-16T15:26:10.078Z,2025-09-18T11:22:52.616Z,1,5,9,276,0,276
21,20 Testes web para a tela de formulários de solicitação de serviços,Developer_01,2025-09-15T15:33:31.391Z,2025-09-16T15:08:49.724Z,0,10,10,288,9,297
20,21 Testes API Formulário Solicitação Serviço,Developer_01,2025-09-09T15:19:52.898Z,2025-09-15T15:28:55.517Z,6,3,4,175,0,175
19,19 Testes Web Tela Exploração Pecuária,Developer_01,2025-09-04T17:51:29.818Z,2025-09-11T11:02:55.575Z,6,15,25,181,54,235
18,18 Manutenção testes sprint 3,Developer_01,2025-09-01T18:42:19.330Z,2025-09-03T18:37:29.124Z,1,8,13,242,70,312
17,17 - Padronizacao de formatacao,Developer_01,2025-08-29T15:13:28.536Z,2025-08-29T15:14:24.806Z,0,4,15,461,493,954
16,16- Testes Web para a tela de avaliação de produtor,Developer_04,2025-08-28T15:41:41.574Z,2025-08-29T16:56:14.702Z,1,9,7,256,0,256
15,14- Testes Sprint 3,Developer_01,2025-08-27T12:19:53.440Z,2025-08-28T13:43:10.642Z,1,20,64,2465,412,2877
14,15- Testes Sprint 2,Developer_01,2025-08-27T12:13:25.066Z,2025-08-29T12:06:44.534Z,1,2,1,14,2,16
13,13 testes web para as telas produto e integradora,Developer_01,2025-07-29T19:40:49.496Z,2025-08-04T14:39:39.932Z,5,13,11,440,1,441
12,12 Testes Sprints 1 e 4 finalizados,Developer_01,2025-07-29T19:16:58.043Z,2025-08-04T13:37:33.563Z,5,20,66,1637,634,2271
11,Feature 11 - Padronizando a formatação do projeto,Developer_01,2025-07-08T13:52:50.618Z,2025-07-08T13:54:25.487Z,0,1,25,731,853,1584
10,Testes WEB iniciais,Developer_01,2025-06-25T19:19:09.421Z,2025-07-08T12:54:50.326Z,12,20,66,1734,708,2442
9,Testes no CRUD de campos complementares,Developer_01,2025-06-17T14:26:20.869Z,2025-06-17T17:03:12.655Z,0,6,5,195,20,215
8,Testes nas rotas de exploração pecuária,Developer_01,2025-06-17T13:46:46.141Z,2025-06-17T16:44:00.751Z,0,10,8,349,15,364
7,Manutenção dos testes iniciais  do sistema,Developer_01,2025-06-13T14:06:54.519Z,2025-06-16T17:55:37.527Z,3,11,12,265,52,317
6,Testes no CRUD de Análises,Developer_01,2025-06-12T17:05:14.988Z,2025-06-13T17:57:01.686Z,1,4,8,123,4,127
5,Testes envio de download de arquivos pelo minio,Developer_01,2025-06-12T13:28:32.389Z,2025-06-12T14:26:44.489Z,0,4,6,64,2,66
4,Testes das rotas de notificações,Developer_01,2025-06-11T21:14:27.716Z,2025-06-12T13:37:46.658Z,0,2,6,100,0,100
3,Testes CRUD especies,Developer_01,2025-06-11T19:22:41.662Z,2025-06-12T13:29:50.753Z,0,4,4,130,0,130
2,Test/testes para rotas de busca,Developer_01,2025-06-10T20:01:06.608Z,2025-06-11T17:54:20.036Z,0,7,6,191,1,192
1,Test/enderecos,Developer_01,2025-06-10T19:57:09.440Z,2025-06-11T17:42:58.804Z,0,7,6,139,3,142
